snapped_at,price,market_cap,total_volume
2022-02-17 00:00:00 UTC,29.391768141507058,1282511300.1732326,4841217.202519099
2022-02-18 00:00:00 UTC,29.01792322547627,1267609852.9448328,9526920.554236647
2022-02-19 00:00:00 UTC,29.152626482036023,1271441983.6760561,8159071.115146815
2022-02-20 00:00:00 UTC,29.145378812287355,1273873702.9286175,3872924.618552811
2022-02-21 00:00:00 UTC,27.550719592055216,1211987090.0200543,5712243.752052504
2022-02-22 00:00:00 UTC,27.48852202559743,1226171509.042885,9885459.070835976
2022-02-23 00:00:00 UTC,28.911187309491957,1271697429.8900409,5130368.174270817
2022-02-24 00:00:00 UTC,31.510092410026317,1386533635.5516207,16192904.864868801
2022-02-25 00:00:00 UTC,30.304259719163937,1337551760.5142944,18852202.64951779
2022-02-26 00:00:00 UTC,33.108801402922694,1461847943.7097697,8669558.27584528
2022-02-27 00:00:00 UTC,36.94768541340006,1615602471.7636685,10999934.253458565
2022-02-28 00:00:00 UTC,32.707085767331904,1452715685.5899968,10158606.36713733
2022-03-01 00:00:00 UTC,37.88980895477063,1685904257.1979463,17167591.888150446
2022-03-02 00:00:00 UTC,39.7280266222959,1763597546.1669655,14252458.862802258
2022-03-03 00:00:00 UTC,43.69147030118179,1948705346.666797,16873960.7248124
2022-03-04 00:00:00 UTC,45.51126669023956,2039722572.5750234,16656539.27439087
2022-03-05 00:00:00 UTC,39.80794086671129,1785462370.7169962,18152538.289876536
2022-03-06 00:00:00 UTC,42.9872682594934,1931306883.311582,12730463.093510963
2022-03-07 00:00:00 UTC,40.823677277702,1822661331.7849288,10812502.223927803
2022-03-08 00:00:00 UTC,42.6109723964355,1919423542.7942512,15891507.738681529
2022-03-09 00:00:00 UTC,39.543371995441234,1779691203.0164137,12345938.864965584
2022-03-10 00:00:00 UTC,42.159743646623355,1909107552.3816104,19789069.98861807
2022-03-11 00:00:00 UTC,40.53745864782246,1829749683.7861154,10726282.654238125
2022-03-12 00:00:00 UTC,39.411211439541454,1788426210.4570735,6518324.516413377
2022-03-13 00:00:00 UTC,37.9990358321807,1720438476.4678307,6279190.788540447
2022-03-14 00:00:00 UTC,34.71370772401337,1572389305.468641,13801229.734199695
2022-03-15 00:00:00 UTC,34.67454966467819,1573439837.561885,14192930.444285695
2022-03-16 00:00:00 UTC,35.868039845263276,1633069235.2726402,12262193.400666274
2022-03-17 00:00:00 UTC,39.77870054207832,1771852951.21177,12269176.087269913
2022-03-18 00:00:00 UTC,39.22996220531985,1789949846.4546235,8906857.290558686
2022-03-19 00:00:00 UTC,37.32432226075607,1712942736.7493317,14179642.970366994
2022-03-20 00:00:00 UTC,35.80229451481132,1638747350.555224,7771710.843733532
2022-03-21 00:00:00 UTC,34.062400250964075,1562915272.0080385,4607828.751868358
2022-03-22 00:00:00 UTC,33.18869870252138,1523297548.1879685,9593703.67601181
